    cli,Bubble,Shell,Insertion,Selection,Quick
jv,17,1,5,11,1
jv,18,1,6,8,0
jv,18,1,6,6,0
jv,11,1,6,7,1
jv,21,1,7,14,1
jv,19,1,6,8,0
jv,20,1,6,8,1
jv,15,1,6,13,0
jv,15,1,6,8,0
jv,20,1,6,13,0
jv,19,1,6,8,0
jv,11,1,6,9,0
jv,20,2,6,8,0
jv,21,2,7,8,0
jv,12,2,6,10,1
jv,13,2,7,7,1
jv,12,1,6,9,1
jv,27,2,8,18,1
jv,19,1,6,7,1
jv,22,1,7,8,1
jv,11,1,6,8,1
jv,11,1,6,9,0
jv,13,1,6,8,1
jv,23,1,7,10,1
jv,12,1,6,7,0
jv,12,2,6,9,1
jv,21,1,6,8,1
jv,13,1,6,8,1
jv,12,1,6,8,1
jv,19,1,6,9,1
jv,24,1,7,8,1
jv,13,1,6,9,1
jv,18,2,6,8,1
jv,13,1,6,8,1
jv,12,1,6,9,1
jv,18,1,6,8,1
jv,16,1,8,7,1
jv,28,1,7,12,1
jv,14,2,7,8,1
jv,26,2,7,10,1
jv,14,2,7,8,1
jv,15,1,6,9,1
jv,28,2,9,19,1
jv,14,2,7,8,1
jv,16,2,7,8,1
jv,14,2,7,9,1
jv,26,2,8,10,1
jv,12,1,6,8,1
jv,14,1,6,8,15
jv,14,2,7,8,1
jv,14,2,7,9,1
jv,15,2,20,8,1
jv,13,1,6,8,1
jv,14,1,7,8,1
jv,17,2,9,14,1
jv,15,2,7,9,1
jv,22,2,7,9,1
jv,23,2,7,9,1
jv,14,2,7,8,1
jv,15,2,10,13,1
jv,15,2,7,9,1
jv,16,1,7,9,1
jv,16,2,6,8,1
jv,14,1,7,9,1
jv,32,3,11,9,1
jv,16,2,7,9,1
jv,16,2,8,9,1
jv,13,2,6,8,0
jv,26,2,8,10,1
jv,15,2,7,11,1
jv,16,2,7,9,1
jv,16,2,7,10,1
jv,15,2,8,10,1
jv,21,2,9,10,1
jv,23,2,8,10,1
jv,15,2,7,9,1
jv,22,2,9,10,1
jv,22,2,7,9,1
jv,17,2,9,10,1
jv,25,2,8,10,1
jv,21,2,9,11,1
jv,27,2,9,9,1
jv,16,2,7,10,1
jv,16,2,7,9,1
jv,17,2,8,10,1
jv,22,2,7,9,1
jv,14,2,7,9,1
jv,26,2,10,10,1
jv,15,2,7,10,1
jv,16,2,7,23,1
jv,20,2,23,10,1
jv,37,2,11,26,1
jv,15,2,7,9,14
jv,37,2,13,18,1
jv,17,2,7,10,1
jv,39,2,12,27,1
jv,27,2,9,11,1
jv,29,2,7,10,1
jv,16,2,8,10,1
jv,41,2,13,28,1
jv,17,2,8,10,1
jv,17,2,9,12,1
jv,18,2,9,11,1
jv,15,2,7,10,1
jv,16,2,8,10,1
jv,16,2,8,10,1
jv,26,2,11,10,1
jv,29,2,8,10,1
jv,26,2,8,11,1
jv,16,2,7,10,1
jv,22,2,8,11,1
jv,18,2,8,11,1
jv,43,16,13,30,1
jv,17,2,9,11,1
jv,18,2,8,11,1
jv,29,3,25,12,1
jv,21,2,7,10,1
jv,31,2,7,10,1
jv,18,2,8,11,1
jv,18,2,8,11,1
jv,22,18,9,12,1
jv,17,2,8,11,1
jv,38,2,12,12,1
jv,17,2,7,10,1
jv,26,2,10,11,1
jv,32,2,8,11,1
jv,22,2,10,12,1
jv,18,2,8,11,1
jv,19,2,8,11,1
jv,18,2,9,11,1
jv,32,2,8,11,1
jv,18,2,10,14,1
jv,27,2,9,12,1
jv,18,2,9,11,1
jv,26,2,10,26,1
jv,19,2,11,12,1
jv,20,2,8,12,1
jv,18,2,9,12,1
jv,19,2,9,12,1
jv,19,2,10,12,1
jv,19,2,9,12,1
jv,18,2,8,11,1
jv,30,2,12,12,1
jv,18,2,9,12,1
jv,18,2,8,11,1
jv,19,2,10,32,1
jv,28,2,9,12,1
jv,19,2,11,11,1
jv,32,2,10,13,1
jv,28,2,11,13,1
jv,29,2,9,12,1
jv,21,2,9,12,1
jv,28,2,9,12,1
jv,20,2,9,12,1
jv,20,2,10,13,1
jv,21,2,9,12,1
jv,22,2,9,12,1
jv,19,2,12,11,1
jv,26,2,8,11,1
jv,47,2,9,14,1
jv,29,3,11,14,1
jv,20,2,9,12,1
jv,34,3,11,14,1
jv,21,2,10,13,1
jv,30,2,10,14,1
jv,21,2,12,13,1
jv,38,3,10,14,1
jv,23,3,10,14,1
jv,22,2,9,13,1
jv,24,2,9,13,1
jv,22,3,9,13,1
